col_var_id,target_var_id,E,tau,lag,surr_var,min_surr_num,max_surr_num
Erb22daGMST,Wu18TSI,5,1,-41,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-40,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-39,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-38,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-37,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-36,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-35,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-34,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-33,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-32,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-31,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-30,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-29,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-28,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-27,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-26,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-25,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-24,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-23,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-22,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-21,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-20,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-19,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-18,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-17,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-16,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-15,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-14,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-13,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-12,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-11,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-10,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-9,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-8,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-7,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-6,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-5,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-4,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-3,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-2,neither,0,0
Erb22daGMST,Wu18TSI,5,1,-1,neither,0,0
Erb22daGMST,Wu18TSI,5,1,0,neither,0,0
Erb22daGMST,Wu18TSI,5,1,1,neither,0,0
Erb22daGMST,Wu18TSI,5,1,2,neither,0,0
Erb22daGMST,Wu18TSI,5,1,3,neither,0,0
Erb22daGMST,Wu18TSI,5,1,4,neither,0,0
Erb22daGMST,Wu18TSI,5,1,5,neither,0,0
Erb22daGMST,Wu18TSI,5,1,6,neither,0,0
Erb22daGMST,Wu18TSI,5,1,7,neither,0,0
Erb22daGMST,Wu18TSI,5,1,8,neither,0,0
Erb22daGMST,Wu18TSI,5,1,9,neither,0,0
Erb22daGMST,Wu18TSI,5,1,10,neither,0,0
Erb22daGMST,Wu18TSI,5,1,11,neither,0,0
Erb22daGMST,Wu18TSI,5,1,12,neither,0,0
Erb22daGMST,Wu18TSI,5,1,13,neither,0,0
Erb22daGMST,Wu18TSI,5,1,14,neither,0,0
Erb22daGMST,Wu18TSI,5,1,15,neither,0,0
Erb22daGMST,Wu18TSI,5,1,16,neither,0,0
Erb22daGMST,Wu18TSI,5,1,17,neither,0,0
Erb22daGMST,Wu18TSI,5,1,18,neither,0,0
Erb22daGMST,Wu18TSI,5,1,19,neither,0,0
Erb22daGMST,Wu18TSI,5,1,20,neither,0,0
Erb22daGMST,Wu18TSI,5,1,21,neither,0,0
Erb22daGMST,Wu18TSI,5,1,22,neither,0,0
Erb22daGMST,Wu18TSI,5,1,23,neither,0,0
Erb22daGMST,Wu18TSI,5,1,24,neither,0,0
Erb22daGMST,Wu18TSI,5,1,25,neither,0,0
Erb22daGMST,Wu18TSI,5,1,26,neither,0,0
Erb22daGMST,Wu18TSI,5,1,27,neither,0,0
Erb22daGMST,Wu18TSI,5,1,28,neither,0,0
Erb22daGMST,Wu18TSI,5,1,29,neither,0,0
Erb22daGMST,Wu18TSI,5,1,30,neither,0,0
Erb22daGMST,Wu18TSI,5,1,31,neither,0,0
Erb22daGMST,Wu18TSI,5,1,32,neither,0,0
Erb22daGMST,Wu18TSI,5,1,33,neither,0,0
Erb22daGMST,Wu18TSI,5,1,34,neither,0,0
Erb22daGMST,Wu18TSI,5,1,35,neither,0,0
Erb22daGMST,Wu18TSI,5,1,36,neither,0,0
Erb22daGMST,Wu18TSI,5,1,37,neither,0,0
Erb22daGMST,Wu18TSI,5,1,38,neither,0,0
Erb22daGMST,Wu18TSI,5,1,39,neither,0,0
Erb22daGMST,Wu18TSI,5,1,40,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-41,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-40,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-39,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-38,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-37,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-36,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-35,neither,0,0
Erb22daGMST,Wu18TSI,5,2,-34,neither,0,0
