time,GISP2seierstad14d18O_decavg_d18O
-7945,-34.3995
-7935,-34.3895
-7925,-34.39325
-7915,-34.40825
-7905,-34.49475000000001
-7895,-34.63975
-7885,-34.69949999999999
-7875,-34.6895
-7865,-34.619
-7855,-34.499
-7845,-34.43125
-7835,-34.40625000000001
-7825,-34.382625
-7815,-34.360125
-7805,-34.238625
-7795,-34.036125000000006
-7785,-33.9945
-7775,-34.0845
-7765,-34.245999999999995
-7755,-34.466
-7745,-34.522375
-7735,-34.444875
-7725,-34.353624999999994
-7715,-34.251125
-7705,-34.221500000000006
-7695,-34.25150000000001
-7685,-34.298
-7675,-34.358
-7665,-34.29837500000001
-7655,-34.140875
-7645,-34.169
-7635,-34.349000000000004
-7625,-34.5455
-7615,-34.7555
-7605,-34.73587499999999
-7595,-34.528375
-7585,-34.407500000000006
-7575,-34.3575
-7565,-34.387249999999995
-7555,-34.48225000000001
-7545,-34.508500000000005
-7535,-34.478500000000004
-7525,-34.52
-7515,-34.61999999999999
-7505,-34.781875
-7495,-34.994375000000005
-7485,-35.116125
-7475,-35.163624999999996
-7465,-35.076375
-7455,-34.878875
-7445,-34.730875000000005
-7435,-34.623374999999996
-7425,-34.53925
-7415,-34.474250000000005
-7405,-34.429875
-7395,-34.40237499999999
-7385,-34.412000000000006
-7375,-34.452
-7365,-34.522249999999985
-7355,-34.61725
-7345,-34.642125
-7335,-34.609625
-7325,-34.541374999999995
-7315,-34.443875000000006
-7305,-34.44125000000001
-7295,-34.51625
-7285,-34.57475
-7275,-34.619749999999996
-7265,-34.69225
-7255,-34.78725000000001
-7245,-34.831374999999994
-7235,-34.83387499999999
-7225,-34.894124999999995
-7215,-35.001625000000004
-7205,-35.067875
-7195,-35.100375
-7185,-35.050375
-7175,-34.932875
-7165,-34.8305
-7155,-34.74050000000001
-7145,-34.742625
-7135,-34.820125000000004
-7125,-34.8935
-7115,-34.9635
-7105,-34.901500000000006
-7095,-34.7315
-7085,-34.65362499999999
-7075,-34.65112499999999
-7065,-34.7215
-7055,-34.8515
-7045,-34.964999999999996
-7035,-35.065
-7025,-35.094875
-7015,-35.067375
-7005,-34.905125
-6995,-34.632625
-6985,-34.537499999999994
-6975,-34.5875
-6965,-34.587999999999994
-6955,-34.548
-6945,-34.561625
