time,NGRIP1seierstad14d18O_decavg_d18O
-7945,-33.928625
-7935,-34.126125
-7925,-34.377250000000004
-7915,-34.672250000000005
-7905,-34.76099999999999
-7895,-34.681
-7885,-34.67249999999999
-7875,-34.7225
-7865,-34.760124999999995
-7855,-34.787625000000006
-7845,-34.72025
-7835,-34.57524999999999
-7825,-34.472875
-7815,-34.40537500000001
-7805,-34.287
-7795,-34.127
-7785,-34.02475
-7775,-33.96975
-7765,-34.02612499999999
-7755,-34.173625
-7745,-34.32525
-7735,-34.48025
-7725,-34.51425
-7715,-34.44925
-7705,-34.352625
-7695,-34.230125
-7685,-34.251999999999995
-7675,-34.391999999999996
-7665,-34.420624999999994
-7655,-34.358124999999994
-7645,-34.22687499999999
-7635,-34.03937499999999
-7625,-34.07462499999999
-7615,-34.292125
-7605,-34.405125
-7595,-34.432625
-7585,-34.33500000000001
-7575,-34.135000000000005
-7565,-34.115125
-7555,-34.242625
-7545,-34.33575
-7535,-34.40075
-7525,-34.50150000000001
-7515,-34.6315
-7505,-34.7505
-7495,-34.860499999999995
-7485,-34.87287500000001
-7475,-34.80537500000001
-7465,-34.651250000000005
-7455,-34.42625
-7445,-34.279624999999996
-7435,-34.19712499999999
-7425,-34.24524999999999
-7415,-34.40024999999999
-7405,-34.494749999999996
-7395,-34.53975
-7385,-34.566874999999996
-7375,-34.579375
-7365,-34.542375
-7355,-34.464875
-7345,-34.45612500000001
-7335,-34.50362500000001
-7325,-34.570375
-7315,-34.652875
-7305,-34.688625
-7295,-34.686125000000004
-7285,-34.733125
-7275,-34.82062500000001
-7265,-34.875125000000004
-7255,-34.90262500000001
-7245,-34.795375000000014
-7235,-34.577875000000006
-7225,-34.484125
-7215,-34.491625
-7205,-34.606375
-7195,-34.808875
-7185,-34.87387499999999
-7175,-34.826375000000006
-7165,-34.778875
-7155,-34.73137499999999
-7145,-34.792500000000004
-7135,-34.94250000000001
-7125,-34.95775
-7115,-34.862750000000005
-7105,-34.777375000000006
-7095,-34.699875
-7085,-34.748875
-7075,-34.901375
-7065,-34.813250000000004
-7055,-34.52824999999999
-7045,-34.450874999999996
-7035,-34.543375000000005
-7025,-34.65375
-7015,-34.77875
-7005,-34.841875
-6995,-34.854375
-6985,-34.800875000000005
-6975,-34.69337499999999
-6965,-34.63262499999999
-6955,-34.610125
-6945,-34.687999999999995
-6935,-34.848
-6925,-34.855374999999995
-6915,-34.737875
-6905,-34.576375
-6895,-34.378875
-6885,-34.38762499999999
-6875,-34.565124999999995
-6865,-34.678
-6855,-34.738
-6845,-34.730624999999996
-6835,-34.668124999999996
-6825,-34.6125
-6815,-34.56249999999999
-6805,-34.485
-6795,-34.385000000000005
-6785,-34.385374999999996
-6775,-34.467875
-6765,-34.614999999999995
-6755,-34.815000000000005
-6745,-34.889874999999996
-6735,-34.862375
-6725,-34.76749999999999
-6715,-34.61749999999999
