Site,Age (yr bp1950),T annual anom (oC),
GISP2,-60.00,0.055,
GISP2,55.45,0.102,
GISP2,60.47,0.127,
GISP2,65.48,0.143,
GISP2,70.50,0.153,
GISP2,75.52,0.163,
GISP2,80.54,0.180,
GISP2,85.55,0.199,
GISP2,90.57,0.173,
GISP2,95.59,0.072,
GISP2,100.60,-0.016,
GISP2,105.62,-0.021,
GISP2,110.64,0.041,
GISP2,115.65,0.087,
GISP2,120.67,0.083,
GISP2,125.68,0.083,
GISP2,130.70,0.109,
GISP2,135.71,0.145,
GISP2,140.73,0.193,
GISP2,145.74,0.217,
GISP2,150.75,0.215,
GISP2,155.77,0.215,
GISP2,160.78,0.223,
GISP2,165.79,0.228,
GISP2,170.81,0.189,
GISP2,175.82,0.106,
GISP2,180.83,-0.002,
GISP2,185.84,-0.101,
GISP2,190.85,-0.160,
GISP2,195.86,-0.207,
GISP2,200.87,-0.230,
GISP2,205.88,-0.217,
GISP2,210.89,-0.205,
GISP2,215.90,-0.203,
GISP2,220.91,-0.212,
GISP2,225.92,-0.227,
GISP2,230.93,-0.272,
GISP2,235.93,-0.362,
GISP2,240.94,-0.442,
GISP2,245.95,-0.474,
GISP2,250.95,-0.451,
GISP2,255.96,-0.394,
GISP2,260.97,-0.316,
GISP2,265.97,-0.198,
GISP2,270.97,-0.044,
GISP2,275.98,0.115,
GISP2,280.98,0.237,
GISP2,285.98,0.278,
GISP2,290.99,0.225,
GISP2,295.99,0.107,
GISP2,300.99,-0.025,
GISP2,305.99,-0.122,
GISP2,310.99,-0.158,
GISP2,315.99,-0.143,
GISP2,320.99,-0.102,
GISP2,325.99,-0.015,
GISP2,330.98,0.120,
GISP2,335.98,0.241,
GISP2,340.98,0.275,
GISP2,345.97,0.234,
GISP2,350.97,0.173,
GISP2,355.96,0.112,
GISP2,360.96,0.044,
GISP2,365.95,-0.033,
GISP2,370.95,-0.076,
GISP2,375.94,-0.034,
GISP2,380.93,0.064,
GISP2,385.92,0.141,
GISP2,390.91,0.195,
GISP2,395.90,0.289,
GISP2,400.89,0.430,
GISP2,405.88,0.522,
GISP2,410.87,0.481,
GISP2,415.86,0.376,
GISP2,420.85,0.309,
GISP2,425.84,0.295,
GISP2,430.83,0.283,
GISP2,435.81,0.250,
GISP2,440.80,0.228,
GISP2,445.79,0.214,
GISP2,450.78,0.179,
GISP2,455.76,0.102,
GISP2,460.75,0.006,
GISP2,465.74,-0.062,
GISP2,470.72,-0.097,
GISP2,475.71,-0.106,
GISP2,480.69,-0.070,
GISP2,485.68,0.018,
GISP2,490.67,0.111,
GISP2,495.65,0.169,
GISP2,500.64,0.198,
GISP2,505.62,0.220,
GISP2,510.61,0.252,
GISP2,515.60,0.289,
GISP2,520.58,0.346,
GISP2,525.56,0.419,
GISP2,530.55,0.483,
GISP2,535.53,0.520,
GISP2,540.52,0.490,
GISP2,545.50,0.389,
GISP2,550.48,0.270,
GISP2,555.46,0.167,
GISP2,560.44,0.074,
GISP2,565.42,-0.045,
GISP2,570.40,-0.207,
GISP2,575.38,-0.383,
GISP2,580.36,-0.519,
GISP2,585.33,-0.605,
GISP2,590.31,-0.688,
GISP2,595.28,-0.779,
GISP2,600.25,-0.827,
GISP2,605.22,-0.792,
GISP2,610.19,-0.687,
GISP2,615.16,-0.569,
GISP2,620.13,-0.464,
GISP2,625.10,-0.342,
GISP2,630.06,-0.202,
GISP2,635.02,-0.094,
GISP2,639.98,-0.042,
GISP2,644.94,0.018,
GISP2,649.90,0.127,
GISP2,654.86,0.237,
GISP2,659.81,0.280,
GISP2,664.76,0.246,
GISP2,669.71,0.205,
GISP2,674.66,0.211,
GISP2,679.61,0.224,
GISP2,684.55,0.178,
GISP2,689.49,0.066,
GISP2,694.43,-0.060,
GISP2,699.37,-0.135,
GISP2,704.30,-0.116,
GISP2,709.24,-0.031,
GISP2,714.17,0.061,
GISP2,719.10,0.155,
GISP2,724.03,0.274,
GISP2,728.95,0.415,
GISP2,733.88,0.547,
GISP2,738.80,0.604,
GISP2,743.72,0.539,
GISP2,748.64,0.392,
GISP2,753.56,0.233,
GISP2,758.48,0.066,
GISP2,763.40,-0.123,
GISP2,768.32,-0.318,
GISP2,773.24,-0.492,
GISP2,778.16,-0.602,
GISP2,783.08,-0.610,
GISP2,788.00,-0.530,
GISP2,792.91,-0.396,
GISP2,797.83,-0.210,
GISP2,802.75,0.018,
GISP2,807.67,0.243,
GISP2,812.59,0.407,
GISP2,817.51,0.469,
GISP2,822.44,0.451,
GISP2,827.36,0.401,
GISP2,832.28,0.328,
GISP2,837.20,0.240,
GISP2,842.12,0.164,
GISP2,847.04,0.121,
GISP2,851.97,0.117,
GISP2,856.89,0.133,
GISP2,861.81,0.143,
GISP2,866.74,0.138,
GISP2,871.66,0.129,
GISP2,876.58,0.121,
GISP2,881.51,0.110,
GISP2,886.43,0.109,
GISP2,891.36,0.113,
GISP2,896.29,0.088,
GISP2,901.21,0.042,
GISP2,906.14,0.030,
GISP2,911.07,0.073,
GISP2,915.99,0.139,
GISP2,920.92,0.188,
GISP2,925.85,0.226,
GISP2,930.78,0.287,
GISP2,935.71,0.405,
GISP2,940.64,0.560,
GISP2,945.57,0.705,
GISP2,950.50,0.822,
GISP2,955.43,0.944,
GISP2,960.36,1.067,
GISP2,965.29,1.146,
GISP2,970.23,1.171,
GISP2,975.16,1.176,
GISP2,980.09,1.183,
GISP2,985.03,1.203,
GISP2,989.96,1.243,
GISP2,994.90,1.303,
GISP2,999.83,1.377,
GISP2,1004.77,1.439,
GISP2,1009.71,1.429,
GISP2,1014.64,1.327,
GISP2,1019.58,1.183,
GISP2,1024.52,1.030,
GISP2,1029.46,0.854,
GISP2,1034.40,0.674,
